trabajo;est.civ;educacion;mora;vivienda;prestamo;contacto;mes;presultado;suscrito
Obrero;Casado;primaria;no;si;no;celular;abril;desconocido;no
Obrero;Divorciado;desconocido;no;si;no;desconocido;Mayo;desconocido;no
Tecnico;Soltero;secundaria;no;no;no;celular;Agosto;desconocido;no
Tecnico;Soltero;Superior;no;si;no;celular;Mayo;fracaso;no
Tecnico;Soltero;secundaria;no;no;si;celular;Julio;desconocido;no
admin.;Casado;Superior;no;si;no;celular;Octubre;fracaso;no
Ejecutivo;Casado;Superior;no;no;no;celular;Agosto;desconocido;no
Servis;Soltero;secundaria;no;no;no;celular;Julio;desconocido;si
Obrero;Casado;primaria;no;si;no;celular;abril;otro;no
Ejecutivo;Casado;Superior;no;no;no;desconocido;Junio;desconocido;no
Servis;Soltero;secundaria;no;no;no;celular;Febrero;desconocido;no
empresario;Casado;secundaria;no;si;si;desconocido;Mayo;desconocido;no
Obrero;Casado;secundaria;no;no;si;desconocido;Junio;desconocido;no
Retirado;Casado;primaria;no;no;no;desconocido;Junio;desconocido;no
Tecnico;Soltero;Superior;no;si;no;desconocido;Mayo;desconocido;no
Ejecutivo;Casado;Superior;no;no;no;celular;Enero;fracaso;no
Tecnico;Divorciado;secundaria;no;no;no;celular;Agosto;desconocido;no
Ejecutivo;Casado;secundaria;no;si;no;celular;abril;desconocido;no
Obrero;Casado;secundaria;no;no;no;desconocido;Junio;desconocido;no
Independientes;Soltero;secundaria;no;no;no;celular;Julio;desconocido;no
admin.;Casado;secundaria;no;si;no;celular;Julio;desconocido;no
Obrero;Casado;secundaria;no;si;no;desconocido;Mayo;desconocido;no
Tecnico;Soltero;Superior;no;no;no;celular;Agosto;desconocido;no
Ejecutivo;Casado;Superior;no;si;no;celular;abril;desconocido;no
Obrero;Casado;secundaria;no;no;no;celular;Octubre;desconocido;no
Obrero;Casado;secundaria;no;si;no;desconocido;Mayo;desconocido;no
Emple_hogar;Casado;primaria;no;no;no;celular;Agosto;desconocido;no
Obrero;Casado;primaria;no;si;no;desconocido;Mayo;desconocido;no
admin.;Casado;primaria;no;si;no;celular;abril;fracaso;no
Tecnico;Divorciado;secundaria;no;si;no;desconocido;Mayo;desconocido;no
Retirado;Divorciado;Superior;no;si;si;desconocido;Mayo;desconocido;no
admin.;Divorciado;secundaria;no;si;no;desconocido;Mayo;desconocido;no
Obrero;Casado;primaria;no;si;no;celular;Julio;desconocido;no
admin.;Casado;secundaria;no;si;no;celular;Julio;desconocido;no
Ejecutivo;Divorciado;Superior;no;no;si;celular;Agosto;desconocido;no
Obrero;Casado;secundaria;no;si;no;desconocido;Junio;desconocido;no
Ejecutivo;Casado;secundaria;no;si;no;desconocido;Mayo;desconocido;no
Obrero;Casado;primaria;no;no;no;celular;abril;desconocido;no
empresario;Divorciado;Superior;no;no;si;celular;Febrero;desconocido;no
Obrero;Casado;secundaria;no;si;no;desconocido;Mayo;desconocido;no
Tecnico;Casado;secundaria;no;si;no;desconocido;Mayo;desconocido;no
Ejecutivo;Casado;Superior;no;no;no;celular;Agosto;desconocido;no
Obrero;Divorciado;desconocido;no;no;no;celular;Junio;desconocido;si
Ejecutivo;Casado;Superior;no;si;no;celular;Agosto;éxito;si
Ejecutivo;Casado;Superior;no;si;no;celular;Mayo;fracaso;no
Tecnico;Casado;secundaria;no;no;no;desconocido;Junio;desconocido;no
Obrero;Casado;secundaria;no;no;no;celular;Junio;desconocido;si
Tecnico;Casado;secundaria;no;no;no;celular;Febrero;desconocido;si
Ejecutivo;Casado;Superior;no;no;no;celular;Agosto;desconocido;no
Servis;Soltero;secundaria;no;si;no;desconocido;Mayo;desconocido;no
Obrero;Soltero;desconocido;no;si;no;celular;Mayo;desconocido;no
Ejecutivo;Divorciado;secundaria;no;no;no;celular;Agosto;desconocido;no
Tecnico;Divorciado;secundaria;no;no;no;celular;Agosto;desconocido;no
Ejecutivo;Casado;Superior;no;no;si;celular;Julio;desconocido;no
admin.;Casado;secundaria;no;no;no;teléfono;Enero;desconocido;no
Ejecutivo;Soltero;Superior;no;no;no;celular;Febrero;desconocido;no
Retirado;Divorciado;desconocido;no;si;no;celular;Julio;desconocido;no
Ejecutivo;Soltero;Superior;no;si;no;celular;Agosto;desconocido;no
Desempleado;Soltero;secundaria;no;no;no;celular;Agosto;otro;no
Ejecutivo;Divorciado;desconocido;no;si;no;desconocido;Mayo;desconocido;no
Tecnico;Soltero;secundaria;no;no;no;desconocido;Julio;desconocido;no
Tecnico;Soltero;Superior;no;si;no;celular;abril;desconocido;no
Tecnico;Casado;secundaria;no;si;si;celular;Febrero;fracaso;no
Obrero;Casado;secundaria;no;si;no;celular;Mayo;desconocido;no
admin.;Casado;secundaria;no;no;si;celular;Agosto;desconocido;no
Obrero;Soltero;secundaria;no;si;no;desconocido;Mayo;desconocido;no
Ejecutivo;Divorciado;primaria;no;no;no;celular;Noviembre;desconocido;no
Ejecutivo;Soltero;Superior;no;no;no;celular;Junio;desconocido;si
Independientes;Casado;secundaria;no;no;no;desconocido;Junio;desconocido;no
Obrero;Casado;secundaria;no;si;si;celular;Enero;fracaso;no
Ejecutivo;Soltero;Superior;no;no;no;celular;Agosto;desconocido;no
Obrero;Casado;primaria;no;no;no;teléfono;abril;desconocido;no
Independientes;Casado;primaria;no;si;no;celular;Agosto;fracaso;si
admin.;Casado;secundaria;no;si;no;celular;Julio;desconocido;no
Servis;Soltero;secundaria;no;si;no;desconocido;Mayo;desconocido;no
Tecnico;Soltero;secundaria;no;si;no;celular;Mayo;fracaso;no
Obrero;Casado;primaria;no;si;no;celular;Mayo;desconocido;no
Obrero;Soltero;secundaria;no;no;no;celular;Marzo;desconocido;si
Servis;Divorciado;secundaria;no;no;no;desconocido;Junio;desconocido;no
Independientes;Casado;Superior;no;no;no;celular;Agosto;desconocido;no
empresario;Divorciado;Superior;no;no;no;celular;Noviembre;desconocido;no
Obrero;Divorciado;primaria;no;no;no;desconocido;Junio;desconocido;no
Ejecutivo;Divorciado;Superior;no;si;no;desconocido;Mayo;desconocido;si
Obrero;Soltero;secundaria;no;si;no;celular;Mayo;desconocido;no
Obrero;Casado;secundaria;no;si;no;desconocido;Mayo;desconocido;no
Tecnico;Divorciado;secundaria;no;no;no;celular;Julio;desconocido;no
Independientes;Casado;Superior;no;no;no;celular;Febrero;éxito;si
Obrero;Divorciado;secundaria;no;no;si;teléfono;Julio;desconocido;no
Ejecutivo;Divorciado;Superior;no;si;no;desconocido;Junio;desconocido;no
Obrero;Soltero;secundaria;no;no;si;celular;Mayo;desconocido;no
Ejecutivo;Soltero;Superior;no;no;no;celular;Agosto;desconocido;no
Retirado;Divorciado;primaria;no;no;no;celular;Julio;desconocido;no
Ejecutivo;Casado;Superior;no;si;no;celular;abril;desconocido;no
admin.;Casado;Superior;no;si;no;celular;abril;desconocido;si
Obrero;Casado;primaria;no;si;no;desconocido;Mayo;desconocido;no
admin.;Casado;secundaria;no;si;no;celular;abril;desconocido;no
Emple_hogar;Casado;primaria;no;no;no;celular;Agosto;desconocido;no
Obrero;Casado;secundaria;no;si;no;celular;Mayo;desconocido;no
Ejecutivo;Casado;secundaria;no;no;no;celular;Agosto;desconocido;no
Ejecutivo;Soltero;Superior;no;si;si;celular;Noviembre;fracaso;no
Servis;Casado;secundaria;no;si;no;desconocido;Mayo;desconocido;no
Estudiante;Soltero;secundaria;no;no;no;teléfono;Mayo;fracaso;no
Tecnico;Casado;secundaria;no;si;si;celular;abril;desconocido;no
Tecnico;Soltero;Superior;no;si;no;celular;Agosto;desconocido;no
admin.;Soltero;secundaria;no;si;no;desconocido;Mayo;desconocido;no
empresario;Casado;Superior;no;si;no;desconocido;Mayo;desconocido;no
Obrero;Casado;secundaria;no;si;si;celular;abril;desconocido;no
Ejecutivo;Casado;Superior;no;si;no;celular;Junio;desconocido;no
Ejecutivo;Casado;Superior;no;si;no;celular;Noviembre;desconocido;no
Tecnico;Soltero;secundaria;no;si;no;desconocido;Mayo;desconocido;si
Ejecutivo;Casado;Superior;no;si;no;desconocido;Mayo;desconocido;no
Ejecutivo;Casado;Superior;no;no;no;desconocido;Junio;desconocido;no
Estudiante;Soltero;secundaria;no;no;no;celular;Agosto;desconocido;no
empresario;Casado;primaria;no;si;no;desconocido;Mayo;desconocido;no
Obrero;Casado;secundaria;no;si;no;desconocido;Mayo;desconocido;no
Ejecutivo;Casado;Superior;no;no;no;celular;Agosto;desconocido;no
admin.;Casado;secundaria;no;si;no;celular;Julio;desconocido;no
Retirado;Casado;secundaria;no;si;no;desconocido;Mayo;desconocido;no
Obrero;Casado;secundaria;no;si;no;desconocido;Mayo;desconocido;no
Obrero;Casado;secundaria;no;si;no;celular;Mayo;desconocido;si
Retirado;Casado;secundaria;no;no;no;desconocido;Junio;desconocido;no
Retirado;Casado;secundaria;no;si;no;celular;abril;desconocido;si
Tecnico;Casado;secundaria;no;si;no;celular;Agosto;fracaso;si
admin.;Casado;secundaria;no;si;si;desconocido;Octubre;desconocido;si
Obrero;Casado;secundaria;no;si;no;desconocido;Mayo;desconocido;no
admin.;Casado;Superior;no;si;no;desconocido;Mayo;desconocido;no
Obrero;Casado;secundaria;no;si;no;desconocido;Junio;desconocido;no
Retirado;Casado;secundaria;no;no;no;teléfono;Julio;desconocido;si
admin.;Casado;secundaria;no;si;no;desconocido;Mayo;desconocido;no
Emple_hogar;Soltero;secundaria;no;no;no;celular;Julio;desconocido;no
admin.;Casado;secundaria;no;si;si;desconocido;Mayo;desconocido;no
Tecnico;Casado;secundaria;no;si;no;celular;Agosto;desconocido;no
Ejecutivo;Casado;Superior;no;si;no;celular;Enero;otro;no
Retirado;Soltero;primaria;no;no;no;desconocido;Junio;desconocido;no
Ejecutivo;Soltero;primaria;no;no;no;desconocido;Junio;desconocido;no
Tecnico;Soltero;secundaria;no;si;no;celular;Mayo;desconocido;no
admin.;Casado;desconocido;no;no;no;celular;Noviembre;desconocido;no
admin.;Casado;secundaria;no;si;no;celular;Mayo;desconocido;no
Tecnico;Casado;secundaria;no;si;no;desconocido;Mayo;desconocido;no
Ejecutivo;Casado;Superior;no;si;no;desconocido;Mayo;desconocido;no
Ejecutivo;Casado;Superior;no;si;si;desconocido;Mayo;desconocido;no
Ejecutivo;Soltero;secundaria;no;no;no;celular;Agosto;desconocido;no
Obrero;Divorciado;secundaria;no;si;no;celular;abril;fracaso;si
admin.;Divorciado;secundaria;no;si;si;teléfono;Julio;desconocido;no
admin.;Soltero;secundaria;no;si;no;celular;Agosto;otro;no
Obrero;Casado;secundaria;no;si;no;celular;Mayo;desconocido;no
Desempleado;Casado;Superior;no;no;no;celular;Agosto;desconocido;no
Ejecutivo;Casado;Superior;no;no;no;celular;Julio;desconocido;no
Retirado;Casado;primaria;no;si;no;celular;Enero;desconocido;no
Obrero;Casado;secundaria;no;si;no;celular;abril;desconocido;no
Servis;Casado;secundaria;no;no;no;celular;Diciembre;éxito;si
Servis;Casado;secundaria;no;si;no;celular;Julio;desconocido;no
Obrero;Casado;secundaria;no;no;no;desconocido;Junio;desconocido;no
Obrero;Casado;secundaria;no;si;no;desconocido;Mayo;desconocido;no
admin.;Casado;secundaria;no;si;no;celular;Mayo;desconocido;no
Obrero;Divorciado;secundaria;si;si;no;celular;Julio;desconocido;no
Servis;Divorciado;secundaria;no;si;no;celular;Mayo;desconocido;no
Ejecutivo;Soltero;Superior;no;no;no;celular;Noviembre;desconocido;no
empresario;Casado;secundaria;no;no;no;teléfono;Agosto;éxito;si
Ejecutivo;Soltero;Superior;no;si;no;celular;abril;desconocido;no
Ejecutivo;Casado;Superior;no;no;no;celular;Agosto;desconocido;no
Retirado;Casado;primaria;no;no;no;teléfono;Julio;desconocido;no
Ejecutivo;Casado;Superior;no;no;no;celular;Agosto;éxito;si
Servis;Casado;secundaria;no;no;no;celular;Agosto;desconocido;no
Tecnico;Casado;secundaria;no;si;si;desconocido;Mayo;desconocido;no
Obrero;Casado;primaria;no;si;no;desconocido;Mayo;desconocido;no
Servis;Divorciado;secundaria;no;si;no;desconocido;Mayo;desconocido;no
Desempleado;Casado;Superior;no;si;no;celular;Noviembre;desconocido;no
Tecnico;Casado;secundaria;no;no;no;celular;Agosto;desconocido;no
Ejecutivo;Casado;secundaria;no;si;no;celular;Julio;desconocido;no
admin.;Soltero;secundaria;no;si;si;desconocido;Mayo;desconocido;no
Tecnico;Soltero;desconocido;no;si;si;celular;Noviembre;fracaso;no
Obrero;Casado;secundaria;no;si;no;celular;Mayo;desconocido;si
Obrero;Casado;secundaria;no;si;no;celular;Mayo;otro;no
Emple_hogar;Casado;secundaria;no;si;no;desconocido;Mayo;desconocido;no
Ejecutivo;Soltero;Superior;no;si;no;celular;abril;fracaso;no
Tecnico;Divorciado;Superior;no;si;si;desconocido;Junio;desconocido;no
Desempleado;Casado;Superior;no;si;si;desconocido;Mayo;desconocido;no
desconocido;Casado;secundaria;no;no;no;celular;Noviembre;otro;si
admin.;Casado;Superior;no;no;no;celular;Marzo;fracaso;si
Tecnico;Soltero;Superior;no;no;no;celular;Agosto;desconocido;no
admin.;Divorciado;secundaria;no;no;si;celular;Noviembre;desconocido;no
Obrero;Casado;secundaria;no;si;no;desconocido;Mayo;desconocido;no
admin.;Casado;secundaria;no;no;no;celular;Agosto;desconocido;no
Emple_hogar;Casado;primaria;no;no;no;celular;Agosto;desconocido;no
Emple_hogar;Casado;primaria;no;no;no;celular;Julio;éxito;no
Servis;Divorciado;secundaria;no;si;no;desconocido;Mayo;desconocido;no
Obrero;Casado;secundaria;no;si;no;celular;Julio;desconocido;si
Independientes;Casado;secundaria;no;no;si;celular;Agosto;desconocido;no
Independientes;Casado;Superior;no;no;no;celular;Julio;desconocido;no
Ejecutivo;Soltero;Superior;no;no;no;celular;Octubre;desconocido;no
Servis;Casado;primaria;no;no;si;celular;Julio;desconocido;no
Obrero;Soltero;primaria;no;si;no;desconocido;Mayo;desconocido;no
Obrero;Casado;primaria;no;no;no;celular;Agosto;desconocido;no
Tecnico;Casado;secundaria;no;si;no;celular;Agosto;desconocido;no
Ejecutivo;Soltero;Superior;no;si;no;celular;Agosto;desconocido;no
Tecnico;Soltero;Superior;no;no;no;celular;abril;desconocido;no
Tecnico;Casado;secundaria;no;no;no;desconocido;Junio;desconocido;no
Tecnico;Casado;Superior;no;si;no;celular;Mayo;otro;no
Ejecutivo;Divorciado;Superior;no;no;no;celular;Noviembre;fracaso;no
Tecnico;Soltero;secundaria;no;no;no;celular;Agosto;desconocido;no
Emple_hogar;Casado;primaria;no;si;no;desconocido;Junio;desconocido;no
Ejecutivo;Casado;Superior;no;no;no;celular;Febrero;fracaso;no
Ejecutivo;Casado;Superior;no;si;no;celular;Mayo;desconocido;no
Ejecutivo;Casado;Superior;no;si;no;celular;Febrero;desconocido;no
Obrero;Casado;desconocido;no;no;no;teléfono;Julio;desconocido;no
Obrero;Soltero;primaria;no;si;no;celular;Mayo;fracaso;no
Ejecutivo;Casado;Superior;no;no;no;celular;Noviembre;desconocido;no
Obrero;Casado;secundaria;no;no;si;desconocido;Octubre;fracaso;no
Obrero;Soltero;secundaria;no;si;no;celular;Julio;desconocido;no
Ejecutivo;Soltero;Superior;no;no;no;celular;Noviembre;otro;no
Tecnico;Casado;secundaria;no;no;no;celular;abril;fracaso;si
Obrero;Divorciado;primaria;no;no;si;celular;Julio;desconocido;no
Tecnico;Casado;secundaria;no;no;no;celular;Octubre;otro;si
Tecnico;Casado;secundaria;no;si;no;celular;Setiembre;fracaso;no
Tecnico;Soltero;secundaria;no;no;no;celular;Octubre;desconocido;no
Tecnico;Divorciado;secundaria;no;no;si;celular;Agosto;desconocido;no
admin.;Casado;secundaria;no;si;no;celular;abril;desconocido;no
Ejecutivo;Casado;Superior;no;si;no;desconocido;Mayo;desconocido;no
Tecnico;Soltero;Superior;no;si;no;celular;Mayo;fracaso;no
Retirado;Casado;secundaria;no;no;no;desconocido;Junio;desconocido;no
Ejecutivo;Soltero;Superior;no;si;no;teléfono;Mayo;desconocido;no
empresario;Casado;secundaria;no;no;si;celular;Julio;desconocido;no
empresario;Casado;Superior;no;no;no;desconocido;Junio;desconocido;no
Tecnico;Casado;Superior;no;no;no;celular;Mayo;fracaso;no
Tecnico;Casado;Superior;no;no;no;celular;Agosto;desconocido;no
Tecnico;Casado;desconocido;no;no;no;celular;Octubre;éxito;si
Obrero;Divorciado;secundaria;no;si;no;desconocido;Junio;desconocido;no
Retirado;Casado;secundaria;no;no;no;celular;Agosto;desconocido;no
Ejecutivo;Soltero;desconocido;no;no;no;celular;Enero;desconocido;no
Tecnico;Divorciado;secundaria;no;no;no;celular;Agosto;desconocido;no
Ejecutivo;Soltero;Superior;no;si;no;celular;Mayo;fracaso;no
Ejecutivo;Casado;Superior;no;no;no;celular;Febrero;desconocido;no
admin.;Soltero;secundaria;no;si;no;celular;Noviembre;desconocido;no
Ejecutivo;Divorciado;Superior;no;si;si;celular;Julio;desconocido;no
Servis;Soltero;secundaria;no;si;si;celular;Julio;desconocido;no
Obrero;Casado;primaria;no;no;no;celular;Julio;desconocido;no
Retirado;Casado;Superior;no;si;si;desconocido;Mayo;desconocido;si
Servis;Soltero;secundaria;no;si;no;celular;Noviembre;otro;no
Obrero;Casado;secundaria;no;si;no;desconocido;Mayo;desconocido;no
Tecnico;Divorciado;secundaria;no;no;no;celular;Agosto;desconocido;no
empresario;Divorciado;primaria;no;si;no;desconocido;Mayo;desconocido;no
Ejecutivo;Soltero;Superior;no;si;no;desconocido;Mayo;desconocido;no
Tecnico;Casado;secundaria;no;si;no;desconocido;Mayo;desconocido;no
Ejecutivo;Divorciado;Superior;no;no;no;celular;Junio;desconocido;si
Emple_hogar;Casado;primaria;no;si;si;celular;Agosto;desconocido;no
Ejecutivo;Casado;Superior;no;si;no;celular;Enero;desconocido;no
Independientes;Casado;primaria;no;si;no;teléfono;Julio;desconocido;no
Ejecutivo;Casado;Superior;no;no;no;celular;Agosto;desconocido;no
Obrero;Casado;secundaria;no;si;si;celular;Mayo;desconocido;no
Ejecutivo;Soltero;Superior;no;no;no;celular;Junio;desconocido;no
Retirado;Casado;secundaria;no;no;no;desconocido;Junio;desconocido;no
Tecnico;Divorciado;secundaria;no;si;no;celular;Noviembre;desconocido;no
admin.;Casado;secundaria;no;no;no;celular;Noviembre;desconocido;si
admin.;Casado;secundaria;no;no;no;celular;Agosto;desconocido;no
Ejecutivo;Divorciado;Superior;no;si;no;teléfono;Agosto;desconocido;no
admin.;Casado;secundaria;no;no;si;celular;Mayo;fracaso;no
Tecnico;Soltero;Superior;no;no;no;celular;Julio;desconocido;no
Obrero;Casado;secundaria;no;si;si;desconocido;Junio;desconocido;no
Obrero;Casado;desconocido;no;no;no;celular;Agosto;desconocido;no
Ejecutivo;Soltero;Superior;no;no;no;celular;Octubre;desconocido;no
Ejecutivo;Soltero;Superior;no;si;no;celular;Mayo;fracaso;no
Obrero;Divorciado;secundaria;no;no;no;desconocido;Junio;desconocido;no
Desempleado;Soltero;Superior;no;no;no;celular;Febrero;desconocido;no
Servis;Casado;secundaria;no;si;si;desconocido;Mayo;desconocido;no
Desempleado;Casado;secundaria;no;si;no;celular;Mayo;otro;no
Independientes;Soltero;Superior;no;no;no;celular;Junio;desconocido;no
Obrero;Casado;secundaria;no;si;si;celular;Noviembre;desconocido;no
Tecnico;Soltero;Superior;no;no;no;celular;abril;éxito;si
Obrero;Casado;secundaria;no;si;no;desconocido;Setiembre;éxito;no
Ejecutivo;Casado;Superior;no;si;no;desconocido;Mayo;desconocido;si
admin.;Casado;secundaria;no;no;no;celular;Mayo;desconocido;no
Ejecutivo;Casado;Superior;no;no;no;desconocido;Junio;desconocido;no
admin.;Soltero;secundaria;no;no;no;celular;abril;desconocido;no
Obrero;Casado;secundaria;no;si;no;desconocido;Junio;desconocido;no
Tecnico;Soltero;secundaria;no;si;no;celular;abril;éxito;no
Ejecutivo;Casado;Superior;no;si;no;desconocido;Mayo;desconocido;no
Emple_hogar;Casado;primaria;no;no;no;desconocido;Junio;desconocido;no
Ejecutivo;Casado;Superior;no;si;no;celular;Mayo;fracaso;no
Independientes;Soltero;Superior;no;no;no;celular;Enero;desconocido;si
Obrero;Divorciado;secundaria;no;si;no;celular;Julio;desconocido;no
Ejecutivo;Casado;Superior;no;no;no;celular;abril;desconocido;si
Tecnico;Casado;Superior;no;si;no;celular;Mayo;desconocido;si
Servis;Casado;secundaria;no;no;no;celular;Mayo;éxito;si
Ejecutivo;Casado;Superior;no;si;no;desconocido;Mayo;desconocido;no
Independientes;Casado;secundaria;no;si;no;desconocido;Mayo;desconocido;no
Tecnico;Casado;secundaria;no;no;no;celular;Agosto;desconocido;no
admin.;Casado;secundaria;no;si;no;desconocido;Mayo;desconocido;no
Tecnico;Casado;Superior;no;no;no;celular;Octubre;éxito;no
Tecnico;Casado;secundaria;no;si;no;celular;Mayo;desconocido;no
Obrero;Casado;primaria;no;no;no;desconocido;Junio;desconocido;no
Tecnico;Soltero;secundaria;no;no;no;celular;Julio;desconocido;no
Retirado;Divorciado;Superior;no;no;no;desconocido;Mayo;desconocido;si
Obrero;Casado;secundaria;no;si;no;celular;Enero;desconocido;no
empresario;Soltero;secundaria;no;no;si;celular;Julio;desconocido;no
Obrero;Soltero;secundaria;no;si;no;celular;abril;fracaso;no
Ejecutivo;Casado;secundaria;no;si;no;celular;Mayo;fracaso;no
Independientes;Casado;Superior;no;no;no;celular;Junio;fracaso;no
Obrero;Casado;primaria;no;no;no;teléfono;Octubre;desconocido;no
Ejecutivo;Casado;Superior;no;no;no;teléfono;abril;desconocido;no
Tecnico;Divorciado;secundaria;no;no;no;celular;Julio;desconocido;no
Ejecutivo;Soltero;Superior;no;si;no;celular;Mayo;desconocido;no
Independientes;Casado;secundaria;no;si;no;desconocido;Mayo;desconocido;no
Tecnico;Casado;secundaria;no;no;no;celular;abril;desconocido;no
Servis;Divorciado;secundaria;no;si;no;celular;Mayo;desconocido;no
Retirado;Casado;primaria;no;si;no;desconocido;Junio;desconocido;no
empresario;Casado;Superior;no;si;si;celular;Agosto;desconocido;no
Obrero;Casado;desconocido;no;no;no;celular;Febrero;fracaso;no
Ejecutivo;Casado;Superior;no;no;no;celular;Febrero;desconocido;si
empresario;Casado;primaria;no;si;no;desconocido;Mayo;desconocido;no
Ejecutivo;Casado;Superior;no;no;si;celular;Julio;desconocido;no
Retirado;Soltero;secundaria;no;no;si;celular;Febrero;fracaso;no
admin.;Divorciado;secundaria;no;si;no;celular;Mayo;fracaso;no
admin.;Soltero;secundaria;no;no;no;celular;Mayo;desconocido;no
Ejecutivo;Soltero;Superior;no;no;no;celular;Agosto;fracaso;si
Independientes;Casado;secundaria;no;si;no;celular;Mayo;desconocido;no
Servis;Casado;secundaria;no;no;no;desconocido;Junio;desconocido;no
Tecnico;Soltero;secundaria;no;no;no;celular;abril;desconocido;no
Ejecutivo;Soltero;Superior;no;no;no;celular;Mayo;éxito;no
Obrero;Casado;primaria;no;si;si;desconocido;Mayo;desconocido;no
desconocido;Casado;desconocido;no;no;no;desconocido;Junio;desconocido;no
Obrero;Casado;primaria;no;no;no;teléfono;Julio;desconocido;no
admin.;Casado;Superior;no;no;no;celular;Julio;desconocido;no
Independientes;Casado;secundaria;no;si;no;celular;abril;desconocido;no
admin.;Soltero;secundaria;no;no;si;celular;Julio;desconocido;no
Ejecutivo;Divorciado;Superior;no;si;si;desconocido;Noviembre;otro;no
Servis;Soltero;secundaria;no;si;no;desconocido;Junio;desconocido;no
Obrero;Casado;secundaria;no;si;no;celular;Mayo;fracaso;no
admin.;Divorciado;secundaria;si;si;si;celular;Mayo;otro;no
Obrero;Soltero;secundaria;no;si;no;desconocido;Mayo;desconocido;no
admin.;Casado;secundaria;no;si;no;celular;Noviembre;desconocido;no
Obrero;Soltero;primaria;no;si;no;desconocido;Mayo;desconocido;no
Retirado;Divorciado;secundaria;no;no;no;celular;Diciembre;desconocido;si
Servis;Divorciado;secundaria;no;si;no;celular;Febrero;desconocido;no
Tecnico;Soltero;secundaria;no;si;no;desconocido;Junio;desconocido;no
Obrero;Casado;secundaria;no;si;no;desconocido;Mayo;desconocido;no
Ejecutivo;Casado;Superior;no;si;no;desconocido;Mayo;desconocido;no
Servis;Casado;secundaria;no;si;si;celular;abril;desconocido;no
admin.;Soltero;secundaria;no;no;si;celular;Julio;desconocido;no
admin.;Casado;primaria;no;si;no;celular;Mayo;desconocido;no
Obrero;Casado;primaria;no;si;si;celular;Julio;desconocido;no
Obrero;Soltero;secundaria;no;si;si;celular;Mayo;desconocido;no
Servis;Casado;secundaria;no;si;no;celular;Mayo;fracaso;no
Estudiante;Soltero;desconocido;no;no;no;celular;Setiembre;desconocido;no
Obrero;Casado;primaria;no;si;no;celular;Mayo;fracaso;no
Retirado;Casado;primaria;no;no;no;celular;Agosto;desconocido;no
empresario;Soltero;Superior;no;si;si;celular;Noviembre;desconocido;no
admin.;Soltero;secundaria;no;si;no;celular;Mayo;desconocido;no
Ejecutivo;Casado;Superior;no;si;no;celular;Julio;desconocido;no
Ejecutivo;Casado;Superior;no;si;no;celular;Mayo;desconocido;no
Servis;Casado;secundaria;no;si;no;celular;Julio;desconocido;no
Obrero;Casado;primaria;no;no;no;celular;Agosto;desconocido;si
Ejecutivo;Divorciado;secundaria;no;si;si;desconocido;Junio;desconocido;no
admin.;Casado;secundaria;no;si;no;celular;Enero;desconocido;no
empresario;Casado;secundaria;no;no;no;celular;Noviembre;desconocido;no
empresario;Casado;secundaria;no;si;no;desconocido;Mayo;desconocido;no
Desempleado;Divorciado;primaria;no;no;no;celular;Julio;desconocido;no
Tecnico;Casado;secundaria;no;si;si;celular;Noviembre;desconocido;no
Servis;Divorciado;secundaria;no;si;no;desconocido;Mayo;desconocido;no
Obrero;Casado;primaria;no;no;si;desconocido;Junio;desconocido;no
Obrero;Casado;secundaria;no;si;no;celular;abril;desconocido;no
Servis;Soltero;secundaria;no;si;no;celular;Febrero;desconocido;no
Servis;Soltero;secundaria;no;no;si;celular;Julio;desconocido;no
Obrero;Casado;primaria;no;si;si;teléfono;Julio;desconocido;no
Obrero;Casado;primaria;no;si;si;celular;Mayo;otro;no
Tecnico;Casado;secundaria;no;si;no;desconocido;Mayo;desconocido;no
Desempleado;Casado;primaria;no;si;no;celular;Febrero;desconocido;no
Desempleado;Casado;Superior;no;no;no;celular;Agosto;desconocido;no
desconocido;Casado;desconocido;no;no;no;celular;Octubre;desconocido;si
Desempleado;Casado;secundaria;no;si;no;celular;Julio;desconocido;no
admin.;Casado;secundaria;no;no;no;celular;Julio;desconocido;no
Tecnico;Soltero;secundaria;no;no;no;desconocido;Julio;desconocido;si
admin.;Casado;secundaria;no;si;no;desconocido;Mayo;desconocido;no
Obrero;Casado;secundaria;no;si;no;desconocido;Mayo;desconocido;no
Tecnico;Divorciado;secundaria;no;no;no;celular;Agosto;desconocido;no
Servis;Divorciado;secundaria;no;si;no;desconocido;Mayo;desconocido;no
Obrero;Divorciado;primaria;no;si;si;celular;Julio;desconocido;no
Obrero;Casado;secundaria;no;si;no;celular;Mayo;otro;no
Ejecutivo;Divorciado;Superior;no;no;no;celular;abril;otro;si
admin.;Divorciado;secundaria;no;no;no;celular;Febrero;desconocido;si
Obrero;Casado;secundaria;no;si;no;desconocido;Mayo;desconocido;no
Ejecutivo;Casado;Superior;no;si;no;celular;Junio;fracaso;no
Tecnico;Soltero;Superior;no;si;no;desconocido;Mayo;desconocido;no
empresario;Casado;primaria;no;si;no;celular;Julio;desconocido;no
Obrero;Casado;primaria;no;no;no;desconocido;Mayo;desconocido;no
admin.;Casado;secundaria;no;no;si;celular;Julio;desconocido;no
Obrero;Casado;primaria;no;si;no;desconocido;Mayo;desconocido;no
Servis;Casado;secundaria;no;si;no;celular;Agosto;desconocido;no
